ID_SE,TYPE_E,DISEASE_SE,SE_COUNTRY,INITIAL_EQUIVALENT,UPGRADE,UPGRADE_INTERVAL,LAB_MELD_BONUS,LAB_MELD_BONUS_AMOUNT,MAX_EQUIVALENT,MAX_AGE_UPGRADE,REPLACEMENT_SE,ALLOWED_EQS_BY,ALLOWED_EQS_OFFSET
1,SE,Cholangiocarcinoma,Austria,10,10,80,0,20,100,NA,NA,10,0
2,SE,Cystic fibrosis,Austria,10,10,80,0,20,100,NA,NA,10,0
3,SE,Familial Amyloidotic Polyneuropathy (FAP),Austria,15,10,80,0,20,100,NA,NA,10,0
4,SE,Hepato-pulmonary syndrom (HPS),Austria,15,10,80,0,20,100,NA,NA,10,0
5,SE,Porto-pulmonary hypertension (PoPH),Austria,25,10,80,0,20,100,NA,NA,10,0
6,SE,Primary Hyperoxaluria Type 1 (PH1) (Oxalosis),Austria,10,10,80,0,20,100,2,NA,5,0
7,SE,Polycystic liver disease (PLD),Austria,10,10,80,0,20,100,NA,NA,10,0
8,SE,Hepatocellular Carcinoma (HCC),Austria,15,10,80,0,20,100,NA,NA,10,0
9,SE,Non-metastatic hepatoblastoma,Austria,50,0,80,0,20,100,NA,NA,0,0
10,SE,Urea cycle disorder/organic acidemia,Austria,50,0,80,0,20,100,NA,NA,0,0
11,SE,"Persistant hepatic dysfunction (including ""small for size""-syndrome)",Austria,20,0,80,1,20,100,NA,NA,0,0
21,SE,Cholangiocarcinoma,Slovenia,10,10,80,0,20,100,NA,NA,10,0
22,SE,Cystic fibrosis,Slovenia,10,10,80,0,20,100,NA,NA,10,0
23,SE,Familial Amyloidotic Polyneuropathy (FAP),Slovenia,15,10,80,0,20,100,NA,NA,10,0
24,SE,Hepato-pulmonary syndrom (HPS),Slovenia,15,10,80,0,20,100,NA,NA,10,0
25,SE,Porto-pulmonary hypertension (PoPH),Slovenia,25,10,80,0,20,100,NA,NA,10,0
