"hazard","offers_before_rescue","strata"
0.0052834839073603,1,"d_bloodgroup=A, donor_country=Belgium"
0.00981272468539782,2,"d_bloodgroup=A, donor_country=Belgium"
0.0323888811937327,3,"d_bloodgroup=A, donor_country=Belgium"
0.0684184978129245,4,"d_bloodgroup=A, donor_country=Belgium"
0.0942712316769015,5,"d_bloodgroup=A, donor_country=Belgium"
0.127114983402059,6,"d_bloodgroup=A, donor_country=Belgium"
0.172560075369404,7,"d_bloodgroup=A, donor_country=Belgium"
0.199331967433398,8,"d_bloodgroup=A, donor_country=Belgium"
0.251956208240415,9,"d_bloodgroup=A, donor_country=Belgium"
0.315958288263875,10,"d_bloodgroup=A, donor_country=Belgium"
0.355823837728024,11,"d_bloodgroup=A, donor_country=Belgium"
0.458967863010074,12,"d_bloodgroup=A, donor_country=Belgium"
0.615384766108232,13,"d_bloodgroup=A, donor_country=Belgium"
0.669083057260139,14,"d_bloodgroup=A, donor_country=Belgium"
0.806376147968406,15,"d_bloodgroup=A, donor_country=Belgium"
1.07499931430887,16,"d_bloodgroup=A, donor_country=Belgium"
1.39727900788153,19,"d_bloodgroup=A, donor_country=Belgium"
2.30722777706615,25,"d_bloodgroup=A, donor_country=Belgium"
0.00285773474397029,1,"d_bloodgroup=A, donor_country=Germany"
0.0137322853467242,2,"d_bloodgroup=A, donor_country=Germany"
0.0356106394422447,3,"d_bloodgroup=A, donor_country=Germany"
0.070519051487682,4,"d_bloodgroup=A, donor_country=Germany"
0.11975564476412,5,"d_bloodgroup=A, donor_country=Germany"
0.168614706138817,6,"d_bloodgroup=A, donor_country=Germany"
0.225010614542857,7,"d_bloodgroup=A, donor_country=Germany"
0.285335043527262,8,"d_bloodgroup=A, donor_country=Germany"
0.359512669736139,9,"d_bloodgroup=A, donor_country=Germany"
0.46025755779383,10,"d_bloodgroup=A, donor_country=Germany"
0.54248848452398,11,"d_bloodgroup=A, donor_country=Germany"
0.639745954050173,12,"d_bloodgroup=A, donor_country=Germany"
0.761549794998922,13,"d_bloodgroup=A, donor_country=Germany"
0.899545079527866,14,"d_bloodgroup=A, donor_country=Germany"
0.986723165650172,15,"d_bloodgroup=A, donor_country=Germany"
1.17060694952441,16,"d_bloodgroup=A, donor_country=Germany"
1.3216229612072,17,"d_bloodgroup=A, donor_country=Germany"
1.45984838187401,18,"d_bloodgroup=A, donor_country=Germany"
1.62987135668295,19,"d_bloodgroup=A, donor_country=Germany"
1.82455019796796,20,"d_bloodgroup=A, donor_country=Germany"
1.981953334309,21,"d_bloodgroup=A, donor_country=Germany"
2.20911596217929,22,"d_bloodgroup=A, donor_country=Germany"
2.53320748316149,23,"d_bloodgroup=A, donor_country=Germany"
2.63589721119399,24,"d_bloodgroup=A, donor_country=Germany"
2.76451882356182,25,"d_bloodgroup=A, donor_country=Germany"
3.08110575850242,27,"d_bloodgroup=A, donor_country=Germany"
3.93634938545035,30,"d_bloodgroup=A, donor_country=Germany"
0,1,"d_bloodgroup=A, donor_country=Austria"
0.0107535714766975,2,"d_bloodgroup=A, donor_country=Austria"
0.0439850494137002,3,"d_bloodgroup=A, donor_country=Austria"
0.0910565763047214,4,"d_bloodgroup=A, donor_country=Austria"
0.118254150879738,5,"d_bloodgroup=A, donor_country=Austria"
0.156840849005904,6,"d_bloodgroup=A, donor_country=Austria"
0.184124450404405,7,"d_bloodgroup=A, donor_country=Austria"
0.403745790603348,9,"d_bloodgroup=A, donor_country=Austria"
0.46295298042625,10,"d_bloodgroup=A, donor_country=Austria"
0.536494236590213,11,"d_bloodgroup=A, donor_country=Austria"
0.656276610838436,13,"d_bloodgroup=A, donor_country=Austria"
0.856082398574724,14,"d_bloodgroup=A, donor_country=Austria"
0.00182035417588622,1,"d_bloodgroup=A, donor_country=Netherlands"
0.0104364845215879,2,"d_bloodgroup=A, donor_country=Netherlands"
0.0295770551956982,3,"d_bloodgroup=A, donor_country=Netherlands"
0.040342972578446,4,"d_bloodgroup=A, donor_country=Netherlands"
0.0553681793498131,5,"d_bloodgroup=A, donor_country=Netherlands"
0.0622165591078046,6,"d_bloodgroup=A, donor_country=Netherlands"
0.138721890453083,7,"d_bloodgroup=A, donor_country=Netherlands"
0.165815449634423,8,"d_bloodgroup=A, donor_country=Netherlands"
0.218373637286525,9,"d_bloodgroup=A, donor_country=Netherlands"
0.273141467424207,10,"d_bloodgroup=A, donor_country=Netherlands"
0.31083130059902,11,"d_bloodgroup=A, donor_country=Netherlands"
0.468290048590909,12,"d_bloodgroup=A, donor_country=Netherlands"
0.534818600750444,13,"d_bloodgroup=A, donor_country=Netherlands"
0.64900110026246,14,"d_bloodgroup=A, donor_country=Netherlands"
0.927219944183437,15,"d_bloodgroup=A, donor_country=Netherlands"
1.1875171611441,20,"d_bloodgroup=A, donor_country=Netherlands"
0,1,"d_bloodgroup=A, donor_country=Hungary"
0.019783004896347,3,"d_bloodgroup=A, donor_country=Hungary"
0.0556719841794932,4,"d_bloodgroup=A, donor_country=Hungary"
0.160571096236432,5,"d_bloodgroup=A, donor_country=Hungary"
0.219717079866708,6,"d_bloodgroup=A, donor_country=Hungary"
0.349850325154323,7,"d_bloodgroup=A, donor_country=Hungary"
0.407964393387426,8,"d_bloodgroup=A, donor_country=Hungary"
0.597400566853096,12,"d_bloodgroup=A, donor_country=Hungary"
1.13781660533283,13,"d_bloodgroup=A, donor_country=Hungary"
1.99917329514023,19,"d_bloodgroup=A, donor_country=Hungary"
0,1,"d_bloodgroup=A, donor_country=Croatia"
0.0220806100866369,3,"d_bloodgroup=A, donor_country=Croatia"
0.0783764748456867,4,"d_bloodgroup=A, donor_country=Croatia"
0.25998736802891,8,"d_bloodgroup=A, donor_country=Croatia"
