variable,variable_transformed,variable_transformation,level,coef
any_obl,,,"",-0.101244134730588
bgc_type2,,,"",0.358578922455225
delta_height,,,"",0.00921650264396247
delta_height,delta_height_under_20m,under_20m,,-0.0208847408764401
delta_height,delta_height_over_20,over_20,,-0.0149273076377918
delta_height,delta_height_over_0,over_0,,-0.0472043471155306
donor_age,donor_age_under_12,under_12,,-0.0414780137352159
donor_age,,,"",-0.0187224566025511
donor_age,donor_age_over_65,over_65,,-0.0386270607319702
donor_alloc_country,,,Germany,-0.541204938789019
donor_alloc_country,,,Austria,0
donor_alloc_country,,,Netherlands,0
donor_alloc_country,,,Hungary,0
donor_alloc_country,,,Croatia,0
donor_alloc_country,,,Slovenia,0
donor_bmi_cat,,,<20,-0.0605379645792453
donor_bmi_cat,,,25-30,-0.220799241466743
donor_bmi_cat,,,30+,-0.442270125655648
donor_death_cause_group,,,CVA,0.00618630890139286
donor_death_cause_group,,,Anoxia,-0.447347636818483
donor_death_cause_group,,,Other,-0.322975114018191
donor_death_cause_group,,,CNS tumor,-0.745248660533824
donor_drug_abuse,,,1,-0.34686307756851
donor_malignancy,,,1,0.0791853383415824
donor_marginal_free_text,,,1,-0.428970745296307
donor_tumor_history,,,1,-0.176140695779914
graft_dcd,,,1,-0.575242993185663
intercept,,,,-0.375425904329072
listed_kidney,,,1,-0.326711883980127
meld_lab,,,"",0.00990844532834044
meld_lab,meld_lab_over_18,over_18,,0.0479107841145384
meld_lab,meld_lab_over_30,over_30,,-0.0470272840296521
patient_sex,,,Female,-0.0496546880294255
r_bloodgroup,,,O,-0.0155762564314282
r_bloodgroup,,,B,0.278349034880419
r_bloodgroup,,,AB,0.519611450624509
r_match_age,,,"",0.0142598827433686
r_match_age,r_match_age_under_40,under_40,,-0.00644232916842568
ratio_weight,ratio_weight_over_175pc,over_175pc,,2.75481772403405
ratio_weight,ratio_weight_over_125pc,over_125pc,,-3.21168628005977
ratio_weight,ratio_weight_under_70pc,under_70pc,,-1.6552952795017
recipient_country,,,Belgium:match_abroad-A,-1.14559834726261
recipient_country,,,Germany:match_abroad-A,-0.370951706830363
recipient_country,,,Austria:match_abroad-A,-0.406883643820267
recipient_country,,,Netherlands:match_abroad-A,-0.330291246417522
recipient_country,,,Croatia:match_abroad-A,-1.32531963481107
recipient_country,,,Hungary:match_abroad-A,-1.35450363653921
recipient_country,,,Slovenia:match_abroad-A,0.705876251604437
recipient_country,,,Belgium:match_abroad-H,-0.276562562900304
recipient_country,,,Germany:match_abroad-H,-0.0715310002188156
recipient_country,,,Austria:match_abroad-H,-0.286186405942074
recipient_country,,,Netherlands:match_abroad-H,0.374160644616979
retransplant,,,1,-0.840846637094634
travel_mode,,,plane,0.013061261284277
travel_time,,,"",0.0496053674387782
travel_time,travel_time_under_1,under_1,,0.349271266569235
travel_time,travel_time_over_2p5,over_2p5,,-0.0730246391647742
type_e,,,Other SE,-0.197765460756681
type_e,,,HCC,0.249126487159195
type_e,,,NSE,-0.111034609114182
