variable,variable_transformed,variable_transformation,level,coef
d_bloodgroup,,,O,-0.362259028085166
d_bloodgroup,,,A,-0.315368221188117
d_bloodgroup,,,AB,0.668058653115847
d_weight,d_weight_over_100,over_100,,0.000600775123139191
d_weight,d_weight_under_50,under_50,,0.00108810675348461
d_weight,d_weight_over_60,over_60,,-0.00817817894584633
donor_age,donor_age_under_18,under_18,,0.006736796784413
donor_age,donor_age_over_40,over_40,,-0.00840251733718337
donor_age,donor_age_over_65,over_65,,0.0126736897898833
donor_age,donor_age_over_75,over_75,,-0.0693244383711567
donor_alloc_country,,,Germany,-0.623417846626164
donor_alloc_country,,,Belgium,0
donor_alloc_country,,,Hungary,0
donor_alloc_country,,,Croatia,0
donor_alloc_country,,,Austria,0
donor_alloc_country,,,Slovenia,0
donor_death_cause_group,,,Other,-0.160997703687146
donor_death_cause_group,,,CVA,-0.0512105481085861
donor_death_cause_group,,,Anoxia,-0.383346095663576
donor_death_cause_group,,,CNS tumor,-0.350192398102772
donor_drug_abuse,,,1,-0.17348370131757
donor_malignancy,,,1,-0.0598649039751085
donor_marginal_free_text,,,1,-0.239383480102908
donor_tumor_history,,,1,-0.288764376697437
graft_dcd,,,1,0.326636918244249
intercept,,,,0.246565166763162
offered_to,,,ped_center_offer_int,-0.802348479198513
offered_to,,,recipient,1.36602899723483
offered_to,,,center_offer,0.588921233543342
offered_to,,,center_offer_int,-0.308762569732033
prof_compatible,,,1:offered_to-ped_center_offer,0.793787408424121
prof_compatible,,,1:offered_to-center_offer,1.05306304389938
recipient_country,,,Germany:match_abroad-R,1.81228141503628
recipient_country,,,Germany:match_abroad-A,1.03409757641412
recipient_country,,,Croatia:match_abroad-A,-0.395770720816872
recipient_country,,,Belgium:match_abroad-A,-1.30723934862921
recipient_country,,,Hungary:match_abroad-A,-0.906876696495259
recipient_country,,,Netherlands:match_abroad-A,-0.539199660484955
recipient_country,,,Austria:match_abroad-A,-0.0526682722871693
recipient_country,,,Slovenia:match_abroad-A,0.0741246235668976
recipient_country,,,Germany:match_abroad-H,1.46631464388226
recipient_country,,,Croatia:match_abroad-H,1.02588248180529
recipient_country,,,Belgium:match_abroad-H,-0.0594229184438667
recipient_country,,,Hungary:match_abroad-H,-0.739109091368616
recipient_country,,,Netherlands:match_abroad-H,-0.159286300339162
recipient_country,,,Austria:match_abroad-H,-0.507335983713814
recipient_country,,,Germany:any_obl-1,-0.463584065086338
recipient_country,,,Croatia:any_obl-1,-1.03048410066739
recipient_country,,,Belgium:any_obl-1,0.629545652731927
recipient_country,,,Hungary:any_obl-1,0.722515833262599
recipient_country,,,Netherlands:any_obl-1,-0.201220008619065
recipient_country,,,Austria:any_obl-1,-0.722195121520606
recipient_country,,,Slovenia:any_obl-1,0.942881777816302
travel_mode,,,plane,-0.072713656547914
travel_time,,,"",0.0576107204950175
travel_time,travel_time_under_1,under_1,,0.519309119002047
travel_time,travel_time_over_2p5,over_2p5,,-0.0233530893899352
