variable,variable_transformed,variable_transformation,level,coef
bgc_type2,,,"",-0.135339959328065
donor_age,donor_age_under_12,under_12,,-0.191358672829687
donor_age,,,"",-0.0725123625887982
donor_age,donor_age_over_65,over_65,,-0.0398853075745432
donor_alloc_country,,,Germany,-0.544113239577707
donor_alloc_country,,,Austria,0
donor_alloc_country,,,Netherlands,0
donor_alloc_country,,,Hungary,0
donor_alloc_country,,,Croatia,0
donor_alloc_country,,,Slovenia,0
donor_bmi_cat,,,<20,-0.0348525092071214
donor_bmi_cat,,,25-30,-0.766826921935485
donor_bmi_cat,,,30+,-1.48898460152621
donor_death_cause_group,,,CVA,0.378863834148171
donor_death_cause_group,,,Anoxia,-0.196323738393623
donor_death_cause_group,,,Other,-0.28611560388622
donor_death_cause_group,,,CNS tumor,-0.5084034334638
donor_drug_abuse,,,1,-0.274474262656427
donor_malignancy,,,1,0.43146977435379
donor_marginal_free_text,,,1,-1.24386202493339
donor_tumor_history,,,1,-0.0882014871135241
graft_dcd,,,1,-1.80357028144762
intercept,,,,3.42481923313307
listed_kidney,,,1,0.288135493333221
r_aco,,,1,-2.44632227227254
r_match_age,,,"",-0.0877525033906604
ratio_weight,ratio_weight_over_175pc,over_175pc,,2.6120595942623
ratio_weight,ratio_weight_over_125pc,over_125pc,,-2.74372115401556
ratio_weight,ratio_weight_under_70pc,under_70pc,,-4.47390180308103
recipient_country,,,Germany,1.31969349571875
recipient_country,,,Austria,1.12082720205719
recipient_country,,,Netherlands,2.26314061761429
recipient_country,,,Croatia,3.9705804511221
recipient_country,,,Hungary,0.663140555993213
recipient_country,,,Slovenia,0
travel_mode,,,plane,-0.412953266585745
travel_time,,,"",-0.358326241144162
travel_time,travel_time_over_2p5,over_2p5,,0.44094821254038
