variable,variable_transformed,variable_transformation,level,coef
bgc_type2,,,"",0.320250856118746
donor_age,donor_age_under_12,under_12,,0.0132123309733527
donor_age,,,"",-0.0583258115829387
donor_age,donor_age_over_40,over_40,,-0.0264625698573589
donor_age,donor_age_over_65,over_65,,-0.300840170047531
donor_alloc_country,,,Germany,-0.964697973786855
donor_alloc_country,,,Austria,0
donor_alloc_country,,,Netherlands,0
donor_alloc_country,,,Hungary,0
donor_alloc_country,,,Croatia,0
donor_alloc_country,,,Slovenia,0
donor_bmi_cat,,,<20,-0.312426545944773
donor_bmi_cat,,,25-30,-0.322029094509523
donor_bmi_cat,,,30+,-1.72766099186124
donor_death_cause_group,,,CVA,0.41437260702395
donor_death_cause_group,,,Anoxia,-0.692907575366148
donor_death_cause_group,,,Other,-0.0890945271664058
donor_death_cause_group,,,CNS tumor,-1.72398665213239
donor_malignancy,,,1,-0.0636348876246136
donor_marginal_free_text,,,1,-0.41842995890601
graft_dcd,,,1,-3.14092099329119
intercept,,,,-0.869568726414966
listed_kidney,,,1,-0.837419107222672
match_abroad,,,H,0.85217127839153
match_abroad,,,R,0.314271656590655
meld_lab,,,"",0.0268542655390832
meld_lab,meld_lab_over_18,over_18,,0.062260139894101
meld_lab,meld_lab_over_30,over_30,,0.105379508481236
patient_sex,,,Female,0.016184515689218
r_bloodgroup,,,O,-0.220159021170488
r_bloodgroup,,,B,0.25066228416348
r_bloodgroup,,,AB,0.146034474311059
r_match_age,r_match_age_under_12,under_12,,0.0336766713498828
ratio_weight,ratio_weight_over_175pc,over_175pc,,2.48276140822702
ratio_weight,ratio_weight_over_125pc,over_125pc,,-2.57093961463252
ratio_weight,ratio_weight_under_70pc,under_70pc,,-6.42564392660063
recipient_country,,,Germany,1.33799444806045
recipient_country,,,Austria,0.00175470278979295
recipient_country,,,Netherlands,2.11172999811462
recipient_country,,,Croatia,-14.5796299246007
recipient_country,,,Hungary,0.0819073852756473
recipient_country,,,Slovenia,0
retransplant,,,1,-0.0827037974003823
travel_mode,,,plane,-0.19837995926006
travel_time,,,"",-0.197315111323128
travel_time,travel_time_over_2p5,over_2p5,,0.195582538316048
type_e,,,Other SE,-0.379324351855028
type_e,,,HCC,0.0680368901290248
type_e,,,NSE,-0.0728972531572622
