variable,variable_transformed,variable_transformation,level,coef
intercept,,,,-1.71231122880772
r_aco,,,1,-2.540268823846
urgency_code,,,HU,0.204929400485667
patient_sex,,,Male,0.131797796190074
listed_kidney,,,1,-0.190303180659821
graft_dcd,,,1,-0.149136073828933
r_bloodgroup,,,AB,0.722112521538986
r_bloodgroup,,,B,0.347274816109945
r_bloodgroup,,,O,-0.0336142418354552
type_e,,,NSE,-0.127911206274484
type_e,,,HCC,0.258567577232374
type_e,,,Other SE,-0.181885291981313
meld_lab,meld_lab_over_20,over_20,,0.0870405321595406
meld_lab,meld_lab_over_30,over_30,,-0.0630000302028877
r_match_age,,,"",0.0080746186756264
r_match_age,r_match_age_under_40,under_40,,-0.0103203069123083
donor_age,donor_age_under_12,under_12,,-0.251617603059703
donor_age,,,"",-0.0185097374806346
donor_age,donor_age_over_65,over_65,,-0.024073543117087
ratio_weight,ratio_weight_over_175pc,over_175pc,,3.71035227676057
ratio_weight,ratio_weight_over_125pc,over_125pc,,-4.01927221168699
ratio_weight,ratio_weight_under_70pc,under_70pc,,-1.51615385390783
donor_bmi_cat,,,<20,-0.00936382767804796
donor_bmi_cat,,,25-30,-0.154709004087317
donor_bmi_cat,,,30+,-0.319567986669118
donor_malignancy,,,1,-0.213177299091062
donor_alloc_country,,,Germany,-0.127605489370641
donor_death_cause_group,,,CVA,0.511468796861112
donor_death_cause_group,,,Head trauma,0.375967374866186
donor_death_cause_group,,,Other,-0.16223107104577
donor_death_cause_group,,,CNS tumor,0.317851619385453
donor_drug_abuse,,,1,0.0927672276362753
donor_tumor_history,,,1,-0.0622340740011268
donor_marginal_free_text,,,1,-0.451273828659821
recipient_country,,,Germany:match_geography-A,0.16428119181376
recipient_country,,,Belgium:match_geography-A,-0.562857127695524
recipient_country,,,Hungary:match_geography-A,-0.244775916389402
recipient_country,,,Croatia:match_geography-A,0.66764635016485
recipient_country,,,Netherlands:match_geography-A,-0.0147919827053602
recipient_country,,,Austria:match_geography-A,0.307468884316586
recipient_country,,,Slovenia:match_geography-A,-0.0985374175318108
recipient_country,,,Germany:match_geography-H,0.01901730454376
recipient_country,,,Belgium:match_geography-H,0.0556609745416617
recipient_country,,,Netherlands:match_geography-H,0.42753914750916
recipient_country,,,Austria:match_geography-H,0.498399745646838
recipient_country,,,Germany:match_geography-L,0.520896817297825
recipient_country,,,Belgium:match_geography-L,1.16688347283237
recipient_country,,,Hungary:match_geography-L,1.54309036447607
recipient_country,,,Croatia:match_geography-L,3.48685163779956
recipient_country,,,Netherlands:match_geography-L,0.658826226931201
recipient_country,,,Austria:match_geography-L,1.9873950099712
recipient_country,,,Slovenia:match_geography-L,4.65314266334601
