variable,variable_transformed,variable_transformation,level,coef
intercept,,,,-1.67000643280073
patient_sex,,,Male,0.217977715929882
listed_kidney,,,1,-0.287623031842422
graft_dcd,,,1,-0.550236266964161
r_bloodgroup,,,AB,0.380611089188064
r_bloodgroup,,,B,0.288328430265819
r_bloodgroup,,,O,0.0388046375423946
type_e,,,NSE,-0.844393630644311
type_e,,,HCC,-0.325525668920593
type_e,,,Other SE,-0.923207653474062
meld_lab,meld_lab_over_20,over_20,,0.00660422213475862
meld_lab,meld_lab_over_30,over_30,,-0.00825586481199389
r_match_age,,,"",0.0155847103993029
r_match_age,r_match_age_under_40,under_40,,-0.023182584141457
donor_age,donor_age_under_12,under_12,,-0.211150265718051
donor_age,,,"",-0.0221607461937057
donor_age,donor_age_over_65,over_65,,-0.0508758992769306
ratio_weight,ratio_weight_over_175pc,over_175pc,,3.19894490081143
ratio_weight,ratio_weight_over_125pc,over_125pc,,-4.19849711951354
ratio_weight,ratio_weight_under_70pc,under_70pc,,-1.36096392618851
donor_bmi_cat,,,<20,-0.145513396530471
donor_bmi_cat,,,25-30,-0.229961349417718
donor_bmi_cat,,,30+,-0.548186931268689
donor_malignancy,,,1,-0.106494357442906
donor_alloc_country,,,Germany,1.30000968693295
donor_death_cause_group,,,CVA,0.691230845447482
donor_death_cause_group,,,Head trauma,0.628172659199375
donor_death_cause_group,,,Other,0.00916020552112531
donor_death_cause_group,,,CNS tumor,-0.0973626968261344
donor_drug_abuse,,,1,-0.222915148763474
donor_tumor_history,,,1,-0.176987484848898
donor_marginal_free_text,,,1,-0.59991060970288
recipient_country,,,Germany:match_geography-A,1.78675245325523
recipient_country,,,Belgium:match_geography-A,0.0189842520431076
recipient_country,,,Hungary:match_geography-A,-0.273973344103576
recipient_country,,,Croatia:match_geography-A,0.468166724173928
recipient_country,,,Netherlands:match_geography-A,1.46233892024072
recipient_country,,,Austria:match_geography-A,1.01528386267418
recipient_country,,,Slovenia:match_geography-A,3.23880945959411
recipient_country,,,Germany:match_geography-H,-0.368470092512509
recipient_country,,,Belgium:match_geography-H,0.915733608306169
recipient_country,,,Netherlands:match_geography-H,1.24935612351875
recipient_country,,,Austria:match_geography-H,0.532747682994914
recipient_country,,,Germany:match_geography-L,0.485697405189461
recipient_country,,,Belgium:match_geography-L,2.18150712603378
recipient_country,,,Hungary:match_geography-L,1.49056158188572
recipient_country,,,Croatia:match_geography-L,2.1528039820452
recipient_country,,,Netherlands:match_geography-L,1.61858614780594
recipient_country,,,Austria:match_geography-L,2.25287045311222
recipient_country,,,Slovenia:match_geography-L,4.22379170682806
