variable,variable_transformed,variable_transformation,level,coef
intercept,,,,-3.18087839915155
donor_age,donor_age_under_16,under_16,,-0.354007489707398
donor_age,donor_age_over_50,over_50,,-0.0161563870939
donor_age,,,"",-0.0377943584516505
donor_age,donor_age_over_65,over_65,,-16.5903976753259
d_weight,,,"",0.0230577118420734
d_weight,d_weight_under_50,under_50,,-0.0825449082788363
d_weight,d_weight_under_75,under_75,,-0.00676636622280542
d_weight,d_weight_over_100,over_100,,-0.133152267893229
r_match_age,,,"",0.0196290439874739
r_match_age,r_match_age_under_8,under_8,,0.28093680889028
r_match_age,r_match_age_under_40,under_40,,0.0673224817684519
r_weight,,,"",-0.0479295793098868
r_weight,r_weight_under_50,under_50,,0.0715263995978254
r_weight,r_weight_over_90,over_90,,-91.7367498941785
recipient_country,,,Austria,0.914846567790656
recipient_country,,,Belgium,-1.74603108176417
recipient_country,,,Netherlands,-2.23561631408914
recipient_country,,,Croatia,-4.8751306871167
recipient_country,,,Hungary,-4.8751306871167
recipient_country,,,Slovenia,-4.8751306871167
