"param_type","variable","variable_transformed","variable_transformation","level","coef"
"coef","intercept",NA,NA,NA,14.0910951857052
"coef","crea_nodial","crea_nodial_log","log",NA,0.519359033793369
"coef","crea_nodial","crea_nodial_over_log1","over_log1",NA,-1.7736847016003
"coef","crea_nodial","crea_nodial_over_log2p5","over_log2p5",NA,1.21423526034451
"coef","bili","bili_log","log",NA,0.0279745243212655
"coef","bili","bili_over_log1","over_log1",NA,-0.0088698961093614
"coef","bili","bili_over_log7","over_log7",NA,-0.603193068552031
"coef","bili","bili_over_log25","over_log25",NA,0.94732758856361
"coef","inr","inr_log","log",NA,-0.3188093767302
"coef","dial_biweekly",NA,NA,"",-1.79481069608271
"coef","donor_age",NA,NA,"",-0.0265724962720904
"coef","time_since_prev_txp_cat",NA,NA,"2weeks",-2.65730927975559
"coef","time_since_prev_txp_cat",NA,NA,"2weeks90days",-1.90294315347711
"coef","time_since_prev_txp_cat",NA,NA,"90days1year",-1.18585350595524
"coef","time_since_prev_txp_cat",NA,NA,"1to3years",-1.5253643140048
"coef","time_since_prev_txp_cat",NA,NA,"over3years",-0.942043180595801
"coef","r_match_age",NA,NA,"",-0.00857377503271711
"coef","r_match_age","r_match_age_over_50","over_50",NA,-0.0204129543645238
"coef","patient_bmi","patient_bmi_under_20","under_20",NA,-0.108713532950691
"coef","patient_bmi","patient_bmi_over_30","over_30",NA,-0.0475634888161805
"coef","delta_weight_nosplit_ma30",NA,NA,"",-0.010245330632947
"coef","delta_weight_nosplit_ma30","delta_weight_nosplit_ma30_under_0","under_0",NA,-0.0220148079324963
"coef","travel_time","travel_time_over_2p5","over_2p5",NA,0.294415949095774
"coef","travel_time","travel_time_under_1","under_1",NA,-0.222054890606932
"coef","travel_time",NA,NA,"",-0.280950484931433
"coef","travel_mode",NA,NA,"plane",-0.0191672752254297
"coef","year_txp_rt2014",NA,NA,"",0.0673208463775018
"coef","rescue",NA,NA,"",-0.564900534026611
"coef","graft_diabetes",NA,NA,"",-0.044658188454286
"coef","patient_sex",NA,NA,"Female",0.233475695381613
"coef","type_e",NA,NA,"HCC",-0.227362849438868
"coef","type_e",NA,NA,"Other",-0.238468466845045
"coef","bgc_type2",NA,NA,"",-0.249481898359943
"coef","graft_split",NA,NA,"",-1.29624823866491
"coef","match_geography",NA,NA,"A",0.0897809343103556
"coef","match_geography",NA,NA,"L",-0.0447575144646851
"coef","match_geography",NA,NA,"R",0.077683911721407
"coef","graft_dcd",NA,NA,"",-0.688742409459284
"coef","donor_death_cause_group",NA,NA,"Head trauma",-0.353832076687055
"coef","donor_death_cause_group",NA,NA,"CVA",-0.267609981578935
"coef","donor_death_cause_group",NA,NA,"Anoxia",-0.152428813875612
"coef","donor_death_cause_group",NA,NA,"CNS tumor",-0.796135215128337
"coef","donor_malignancy",NA,NA,"",0.822998277494794
"coef","donor_tumor_history",NA,NA,"",-0.309336312119298
"coef","donor_marginal_free_text",NA,NA,"",0.180323425523143
"coef","donor_marginal",NA,NA,"",-0.315744635947181
"shape","recipient_country",NA,NA,"Austria",2.61198468397946
"shape","recipient_country",NA,NA,"Belgium",2.24749240982984
"shape","recipient_country",NA,NA,"Croatia",2.58916088194174
"shape","recipient_country",NA,NA,"Germany",2.57903404360403
"shape","recipient_country",NA,NA,"Hungary",2.08449313583852
"shape","recipient_country",NA,NA,"Netherlands",2.31827599995513
"shape","recipient_country",NA,NA,"Slovenia",2.46894864357232
