from_hospital,to_center,driving_distance
391,AGATP,968.096
391,AIBTP,736.587
391,AWGTP,966.008
391,BANTP,147.376
391,BBRTP,162.287
391,BGETP,198.814
391,BLATP,139.073
391,BLGTP,64.34
391,BLMTP,122.802
391,CZATP,1150.508
391,CZMTP,1148.927
391,CZPTP,1150.508
391,GAKTP,3.027
391,GBCTP,636.002
391,GBOTP,97.152
391,GESTP,119.558
391,GFMTP,256.788
391,GGOTP,362.728
391,GHBTP,310.526
391,GHGTP,494.728
391,GHOTP,363.592
391,GHSTP,270.023
391,GJETP,480.785
391,GKITP,576.183
391,GKLTP,72.757
391,GLPTP,562.097
391,GMBTP,504.33
391,GMHTP,644.904
391,GMLTP,630.815
391,GMNTP,219.824
391,GMZTP,240.959
391,GNBTP,457.154
391,GRBTP,576.489
391,GROTP,662.188
391,GTUTP,443.264
391,GWZTP,373.856
391,HBSTP,1218.636
391,NGRTP,363.678
391,NLBTP,242.603
391,NRDTP,236.331
391,SLOTP,1055.531
390,AGATP,966.823
390,AIBTP,735.313
390,AWGTP,964.734
390,BANTP,148.18
390,BBRTP,162.516
390,BGETP,199.043
390,BLATP,139.303
390,BLGTP,64.569
390,BLMTP,126.913
390,CZATP,1149.235
390,CZMTP,1147.653
390,CZPTP,1149.235
390,GAKTP,5.681
390,GBCTP,634.728
390,GBOTP,95.879
390,GESTP,118.284
390,GFMTP,255.515
390,GGOTP,361.455
390,GHBTP,309.253
390,GHGTP,493.454
390,GHOTP,362.319
390,GHSTP,270.252
390,GJETP,479.512
390,GKITP,574.909
390,GKLTP,71.484
390,GLPTP,560.824
390,GMBTP,503.057
390,GMHTP,643.631
390,GMLTP,629.542
390,GMNTP,218.551
390,GMZTP,239.685
390,GNBTP,455.88
390,GRBTP,575.215
390,GROTP,660.915
390,GTUTP,441.99
390,GWZTP,372.582
390,HBSTP,1217.362
390,NGRTP,362.404
390,NLBTP,243.408
390,NRDTP,237.136
390,SLOTP,1054.257
99,AGATP,1138.554
99,AIBTP,907.044
99,AWGTP,1136.466
99,BANTP,59.902
99,BBRTP,29.905
99,BGETP,28.716
99,BLATP,42.14
99,BLGTP,135.506
99,BLMTP,57.051
99,CZATP,1320.966
99,CZMTP,1319.384
99,CZPTP,1320.966
99,GAKTP,175.787
99,GBCTP,786.663
99,GBOTP,267.61
99,GESTP,262.505
99,GFMTP,427.246
99,GGOTP,513.39
99,GHBTP,480.984
99,GHGTP,619.592
99,GHOTP,514.254
99,GHSTP,372.512
99,GJETP,651.243
99,GKITP,701.047
99,GKLTP,243.215
99,GLPTP,712.759
99,GMBTP,654.992
99,GMHTP,815.362
99,GMLTP,801.273
99,GMNTP,340.435
99,GMZTP,411.417
99,GNBTP,627.612
99,GRBTP,746.947
99,GROTP,787.053
99,GTUTP,613.722
99,GWZTP,544.314
99,HBSTP,1389.093
99,NGRTP,372.61
99,NLBTP,204.044
99,NRDTP,164.713
99,SLOTP,1225.988
98,AGATP,1140.201
98,AIBTP,908.692
98,AWGTP,1138.113
98,BANTP,61.55
98,BBRTP,31.552
