from_hospital,to_center,total_time_byplane
391,AGATP,2.3571785059958694
391,AIBTP,1.777355675270112
391,AWGTP,2.635990495935797
391,BANTP,1.4420859919385094
391,BBRTP,1.6108807984327416
391,BGETP,1.9692790639295144
391,BLATP,1.3408807984327415
391,BLGTP,1.613367904325215
391,BLMTP,1.5292141317660746
391,CZATP,2.5198296924886234
391,CZMTP,2.4781630258219565
391,CZPTP,2.5198296924886234
391,GAKTP,1.253333333333333
391,GBCTP,2.3299271349751134
391,GBOTP,1.6655336076308016
391,GESTP,1.493569021628855
391,GFMTP,1.653665571049651
391,GGOTP,2.2983193130476707
391,GHBTP,1.588334709954136
391,GHGTP,1.7611235092079558
391,GHOTP,1.8230539865252973
391,GHSTP,1.7319039128773168
391,GJETP,2.445727265162789
391,GKITP,1.8369081232011286
391,GKLTP,1.5655336076308015
391,GLPTP,1.9424217452968007
391,GMBTP,1.716997531279989
391,GMHTP,2.1473810409938547
391,GMLTP,2.309047707660522
391,GMNTP,1.6476137229383854
391,GMZTP,1.8419989043829839
391,GNBTP,1.8459884204619579
391,GRBTP,2.745714374327185
391,GROTP,2.2676534760864677
391,GTUTP,1.9440616712467582
391,GWZTP,2.850988420461958
391,HBSTP,2.684010231818808
391,NGRTP,1.675814567605839
391,NLBTP,1.7577363354998683
391,NRDTP,1.4227363354998683
391,SLOTP,2.4769009428925717
390,AGATP,2.3171785059958694
390,AIBTP,1.737355675270112
390,AWGTP,2.595990495935797
390,BANTP,1.4020859919385094
390,BBRTP,1.5708807984327415
390,BGETP,1.9292790639295143
390,BLATP,1.3008807984327415
390,BLGTP,1.573367904325215
390,BLMTP,1.4892141317660745
390,CZATP,2.4798296924886234
390,CZMTP,2.4381630258219564
390,CZPTP,2.4798296924886234
390,GAKTP,1.213333333333333
390,GBCTP,2.2899271349751134
390,GBOTP,1.6255336076308016
390,GESTP,1.453569021628855
390,GFMTP,1.613665571049651
390,GGOTP,2.2583193130476706
390,GHBTP,1.548334709954136
390,GHGTP,1.7211235092079558
390,GHOTP,1.7830539865252972
390,GHSTP,1.6919039128773168
390,GJETP,2.405727265162789
390,GKITP,1.7969081232011286
390,GKLTP,1.5255336076308015
390,GLPTP,1.9024217452968006
390,GMBTP,1.676997531279989
390,GMHTP,2.1073810409938547
390,GMLTP,2.2690477076605218
390,GMNTP,1.6076137229383853
390,GMZTP,1.8019989043829838
390,GNBTP,1.8059884204619578
390,GRBTP,2.7057143743271848
390,GROTP,2.2276534760864677
